name,avis,link
Belles Beach House,"4,5 sur 5 bulles46 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d23910860-Reviews-Belles_Beach_House-Los_Angeles_California.html
Burosu Ramen,"5,0 sur 5 bulles2 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d21501272-Reviews-Burosu_Ramen-Los_Angeles_California.html
1. Maccheroni Republic,"4,5 sur 5 bulles396 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d3848093-Reviews-Maccheroni_Republic-Los_Angeles_California.html
2. Bubba Gump Shrimp Co.,"4,5 sur 5 bulles1 629 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d911418-Reviews-Bubba_Gump_Shrimp_Co-Los_Angeles_California.html
3. 71Above Restaurant and Skylounge,"4,0 sur 5 bulles262 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d10629632-Reviews-71Above_Restaurant_and_Skylounge-Los_Angeles_California.html
4. El Compadre,"5,0 sur 5 bulles361 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d4504016-Reviews-El_Compadre-Los_Angeles_California.html
5. Baby Blues BBQ,"4,5 sur 5 bulles377 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d647761-Reviews-Baby_Blues_BBQ-Los_Angeles_California.html
6. Providence,"4,5 sur 5 bulles813 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d594024-Reviews-Providence-Los_Angeles_California.html
7. Perch,"4,5 sur 5 bulles988 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d2241406-Reviews-Perch-Los_Angeles_California.html
9. Pampas Grill,"4,5 sur 5 bulles338 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d2146116-Reviews-Pampas_Grill-Los_Angeles_California.html
10. Republique,"4,5 sur 5 bulles625 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d5603875-Reviews-Republique-Los_Angeles_California.html
11. Eataly Los Angeles,Javista Hollywood,https://www.tripadvisor.fr/Restaurant_Review-g32655-d13114731-Reviews-Eataly_Los_Angeles-Los_Angeles_California.html
12. Musso & Frank Grill,"4,5 sur 5 bulles1 359 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d514194-Reviews-Musso_Frank_Grill-Los_Angeles_California.html
13. The Butcher's Daughter,"4,5 sur 5 bulles509 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d10277953-Reviews-The_Butcher_s_Daughter-Los_Angeles_California.html
14. Park's BBQ,"4,5 sur 5 bulles132 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d801725-Reviews-Park_s_BBQ-Los_Angeles_California.html
15. Running Goose,"4,5 sur 5 bulles111 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d10044491-Reviews-Running_Goose-Los_Angeles_California.html
16. Kang Ho Dong Baekjeong,"4,5 sur 5 bulles189 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d4796284-Reviews-Kang_Ho_Dong_Baekjeong-Los_Angeles_California.html
17. Tatsu Ramen,"4,5 sur 5 bulles172 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d4178694-Reviews-Tatsu_Ramen-Los_Angeles_California.html
18. Holbox,"5,0 sur 5 bulles23 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d12603603-Reviews-Holbox-Los_Angeles_California.html
19. Langer's Delicatessen Restaurant,"4,5 sur 5 bulles855 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d364756-Reviews-Langer_s_Delicatessen_Restaurant-Los_Angeles_California.html
20. Sur Restaurant & Lounge,"3,5 sur 5 bulles1 051 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d1013627-Reviews-Sur_Restaurant_Lounge-Los_Angeles_California.html
21. High Rooftop Lounge,"4,0 sur 5 bulles222 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d1870239-Reviews-High_Rooftop_Lounge-Los_Angeles_California.html
22. Daikokuya Little Tokyo,"4,5 sur 5 bulles90 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d8761249-Reviews-Daikokuya_Little_Tokyo-Los_Angeles_California.html
23. Bavel,"4,5 sur 5 bulles124 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d13576871-Reviews-Bavel-Los_Angeles_California.html
24. Au Lac Dtla,"4,5 sur 5 bulles109 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d7706144-Reviews-Au_Lac_Dtla-Los_Angeles_California.html
25. Blu Jam Cafe,"4,5 sur 5 bulles221 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d4607221-Reviews-Blu_Jam_Cafe-Los_Angeles_California.html
26. Olive & Thyme,"4,5 sur 5 bulles159 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d2034040-Reviews-Olive_Thyme-Los_Angeles_California.html
27. Marugame Monzo,"4,5 sur 5 bulles108 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d4019757-Reviews-Marugame_Monzo-Los_Angeles_California.html
28. JOEY DTLA,"4,5 sur 5 bulles96 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d17711720-Reviews-JOEY_DTLA-Los_Angeles_California.html
29. Gwen,"4,0 sur 5 bulles150 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d10721522-Reviews-Gwen-Los_Angeles_California.html
30. SUGARFISH by sushi nozawa,"4,5 sur 5 bulles427 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d1907184-Reviews-SUGARFISH_by_sushi_nozawa-Los_Angeles_California.html
31. Manuela,"4,5 sur 5 bulles111 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d11757266-Reviews-Manuela-Los_Angeles_California.html
32. Fixins Soul Kitchen,"4,5 sur 5 bulles40 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d23852053-Reviews-Fixins_Soul_Kitchen-Los_Angeles_California.html
33. Luv2Eat Thai Bistro,"4,5 sur 5 bulles122 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d7371183-Reviews-Luv2Eat_Thai_Bistro-Los_Angeles_California.html
34. El Tepeyac,"4,5 sur 5 bulles237 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d364691-Reviews-El_Tepeyac-Los_Angeles_California.html
35. Yard House,"4,0 sur 5 bulles720 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d2419501-Reviews-Yard_House-Los_Angeles_California.html
36. Fleming's Prime Steakhouse & Wine Bar,"4,0 sur 5 bulles322 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d1972761-Reviews-Fleming_s_Prime_Steakhouse_Wine_Bar-Los_Angeles_California.html
37. Miceli's Italian Restaurant,"4,0 sur 5 bulles547 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d378345-Reviews-Miceli_s_Italian_Restaurant-Los_Angeles_California.html
38. Hae Jang Chon Korean BBQ Restaurant,"4,5 sur 5 bulles115 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d2048703-Reviews-Hae_Jang_Chon_Korean_BBQ_Restaurant-Los_Angeles_California.html
39. Café Gratitude Venice,"4,5 sur 5 bulles497 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d3458135-Reviews-Cafe_Gratitude_Venice-Los_Angeles_California.html
40. 22nd Street Landing Seafood Grill & Bar,"4,0 sur 5 bulles204 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d910543-Reviews-22nd_Street_Landing_Seafood_Grill_Bar-Los_Angeles_California.html
41. Little Sister,"4,0 sur 5 bulles142 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d10043363-Reviews-Little_Sister-Los_Angeles_California.html
42. Sushi Gen,"4,5 sur 5 bulles491 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d364705-Reviews-Sushi_Gen-Los_Angeles_California.html
43. Golden Dragon Restaurant,"4,0 sur 5 bulles102 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d1382260-Reviews-Golden_Dragon_Restaurant-Los_Angeles_California.html
44. Gjelina,"4,0 sur 5 bulles1 272 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d1201927-Reviews-Gjelina-Los_Angeles_California.html
45. Johnny Rockets,"4,0 sur 5 bulles1 044 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d376101-Reviews-Johnny_Rockets-Los_Angeles_California.html
46. The Boiling Crab,"4,5 sur 5 bulles273 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d2185973-Reviews-The_Boiling_Crab-Los_Angeles_California.html
47. Pizzeria Mozza,"4,0 sur 5 bulles760 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d782715-Reviews-Pizzeria_Mozza-Los_Angeles_California.html
48. The Lobster,"4,0 sur 5 bulles2 252 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d16652729-Reviews-The_Lobster-Los_Angeles_California.html
49. The Edison,"4,5 sur 5 bulles136 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d1047634-Reviews-The_Edison-Los_Angeles_California.html
50. Redbird,"4,5 sur 5 bulles279 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d7617914-Reviews-Redbird-Los_Angeles_California.html
51. Du-par's Restaurant & Bakery,"4,0 sur 5 bulles306 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d480677-Reviews-Du_par_s_Restaurant_Bakery-Los_Angeles_California.html
52. Katsuya,"4,0 sur 5 bulles297 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d1776601-Reviews-Katsuya-Los_Angeles_California.html
53. Carlitos Gardel,"4,5 sur 5 bulles227 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d371845-Reviews-Carlitos_Gardel-Los_Angeles_California.html
54. Mother Wolf,"4,0 sur 5 bulles25 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d24148480-Reviews-Mother_Wolf-Los_Angeles_California.html
55. Aliki's Greek Taverna,"4,5 sur 5 bulles456 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d615490-Reviews-Aliki_s_Greek_Taverna-Los_Angeles_California.html
56. n/naka,"5,0 sur 5 bulles180 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d3701882-Reviews-N_naka-Los_Angeles_California.html
57. Water Grill,"4,5 sur 5 bulles915 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d364702-Reviews-Water_Grill-Los_Angeles_California.html
58. Mama Restaurant Los Angeles Hollywood,"4,0 sur 5 bulles158 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d7648243-Reviews-Mama_Restaurant_Los_Angeles_Hollywood-Los_Angeles_California.html
59. Patina Restaurant,"4,0 sur 5 bulles198 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d364828-Reviews-Patina_Restaurant-Los_Angeles_California.html
60. Fogo de Chão Brazilian Steakhouse,"4,0 sur 5 bulles310 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d7314432-Reviews-Fogo_de_Chao_Brazilian_Steakhouse-Los_Angeles_California.html
61. Yang Chow,"4,0 sur 5 bulles407 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d364750-Reviews-Yang_Chow-Los_Angeles_California.html
62. Sidewalk Cafe,"4,0 sur 5 bulles633 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d350408-Reviews-Sidewalk_Cafe-Los_Angeles_California.html
63. Vivian's Millennium Cafe,"4,5 sur 5 bulles206 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d894574-Reviews-Vivian_s_Millennium_Cafe-Los_Angeles_California.html
64. Granville,"4,0 sur 5 bulles138 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d7098574-Reviews-Granville-Los_Angeles_California.html
65. Felix,"4,0 sur 5 bulles140 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d12417682-Reviews-Felix-Los_Angeles_California.html
